Time,ID,Lat,Lon,Alt,WiFi Networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10,
28/10/2017 20:16,OnePlus3T,32.09265138,34.85058414,43.0,3,gal-almagor,14:ae:db:3e:92:c2,2432,-76,porsche-il,54:a2:74:12:b3:51,2462,-84,osi,54:a2:74:12:b3:50,2462,-88,
28/10/2017 20:16,OnePlus3T,32.0926061,34.85003091,34.0,3,Migdal_WiFi,04:bd:88:a2:16:d0,5180,-90,Migdal_Guests,04:bd:88:a2:16:d1,5180,-93,Migdal_Guests,04:bd:88:a2:16:c1,2462,-94,
28/10/2017 20:17,OnePlus3T,32.09257953,34.85000339,23.0,2,Migdal_WiFi,04:bd:88:a2:13:e0,2412,-89,Migdal_Guests,04:bd:88:a2:13:e1,2412,-92,
28/10/2017 20:17,OnePlus3T,32.09268462,34.85005221,30.0,2,Migdal_Guests,04:bd:88:a2:16:d1,5180,-85,Migdal_Guests,04:bd:88:a2:0e:e1,2412,-94,
28/10/2017 20:17,OnePlus3T,32.09271524,34.84954512,39.0,3,Migdal_Guests,04:bd:88:a2:17:e1,2412,-79,Migdal_WiFi,04:bd:88:a2:17:e0,2412,-80,Migdal_WiFi,04:bd:88:a2:15:60,2412,-94,
28/10/2017 20:17,OnePlus3T,32.09269956,34.84933016,40.0,5,Migdal_Guests,04:bd:88:a2:15:61,2412,-82,Migdal_WiFi,04:bd:88:a2:15:60,2412,-85,,88:dc:96:38:3e:5e,2417,-87,Migdal_WiFi,04:bd:88:a2:13:f0,5290,-90,Migdal_Guests,04:bd:88:a2:13:f1,5290,-90,
28/10/2017 20:17,OnePlus3T,32.09273005,34.84871887,39.0,1,Migdal_Guests,04:bd:88:a2:13:e1,2412,-91,
28/10/2017 20:17,OnePlus3T,32.09274636,34.84830893,41.0,7,Migdal_Guests,04:bd:88:a2:17:e1,2412,-79,Migdal_WiFi,04:bd:88:a2:17:e0,2412,-80,Migdal_Guests,04:bd:88:a2:15:61,2412,-82,Migdal_WiFi,04:bd:88:a2:15:60,2412,-85,,88:dc:96:38:3e:5e,2417,-87,Migdal_WiFi,04:bd:88:a2:13:f0,5290,-90,Migdal_Guests,04:bd:88:a2:13:f1,5290,-90,
28/10/2017 20:18,OnePlus3T,32.09264292,34.84763428,40.0,1,kremer - efal,f4:f2:6d:b1:4f:12,2412,-89,
28/10/2017 20:18,OnePlus3T,32.09258733,34.84720259,41.0,5,Migdal_Guests,04:bd:88:a2:15:61,2412,-82,Migdal_WiFi,04:bd:88:a2:15:60,2412,-85,,88:dc:96:38:3e:5e,2417,-87,Migdal_WiFi,04:bd:88:a2:13:f0,5290,-90,Migdal_Guests,04:bd:88:a2:13:f1,5290,-90,
28/10/2017 20:18,OnePlus3T,32.09293776,34.84654544,44.0,1,kremer - efal,f4:f2:6d:b1:4f:12,2412,-89,
28/10/2017 20:18,OnePlus3T,32.09605849,34.84629387,42.0,1,,88:dc:96:17:c0:de,2417,-84,
28/10/2017 20:18,OnePlus3T,32.0975339,34.84676526,38.0,1,,88:dc:96:17:c0:de,2417,-84,
28/10/2017 20:18,OnePlus3T,32.09864922,34.84717821,38.0,1,,88:dc:96:17:c0:de,2417,-88,
28/10/2017 20:18,OnePlus3T,32.09980809,34.84762607,35.0,1,,88:dc:96:17:c0:de,2417,-88,
28/10/2017 20:19,OnePlus3T,32.10075029,34.84790349,35.0,1,,88:dc:96:17:c0:de,2417,-79,
28/10/2017 20:19,OnePlus3T,32.10212717,34.84830214,36.0,1,,88:dc:96:17:c0:de,2417,-79,
28/10/2017 20:19,OnePlus3T,32.10293781,34.84848176,39.0,1,ire_onboarding,00:50:f1:00:4a:10,2412,-92,
28/10/2017 20:19,OnePlus3T,32.10334671,34.84855947,39.0,1,,88:dc:96:17:c0:de,2417,-79,
28/10/2017 20:19,OnePlus3T,32.10375293,34.84864987,39.0,1,Guest,10:bd:18:a6:43:12,2412,-91,
28/10/2017 20:19,OnePlus3T,32.1039678,34.84870881,39.0,1,ire_onboarding,00:50:f1:00:4a:10,2412,-92,
28/10/2017 20:19,OnePlus3T,32.10458393,34.84885717,39.0,1,,88:dc:96:17:c0:de,2417,-79,
28/10/2017 20:19,OnePlus3T,32.10539449,34.849035,38.0,3,Guest,10:bd:18:a6:43:12,2412,-91,ire_onboarding,00:50:f1:00:4a:10,2412,-92,HUAWEI-6714,94:fe:22:46:67:14,2437,-92,
28/10/2017 20:19,OnePlus3T,32.10580833,34.84912803,36.0,1,,88:dc:96:17:c0:de,2417,-79,
28/10/2017 20:19,OnePlus3T,32.10643842,34.84927923,35.0,3,Guest,10:bd:18:a6:43:12,2412,-91,ire_onboarding,00:50:f1:00:4a:10,2412,-92,HUAWEI-6714,94:fe:22:46:67:14,2437,-92,
28/10/2017 20:19,OnePlus3T,32.10790908,34.84961704,33.0,2,Egged.co.il,00:0c:42:51:bb:b8,2412,-80,HUAWEI-6714,94:fe:22:46:67:14,2437,-92,
28/10/2017 20:19,OnePlus3T,32.1089385,34.84984409,32.0,2,Egged.co.il,00:0c:42:51:bb:b8,2412,-80,HUAWEI-6714,94:fe:22:46:67:14,2437,-92,
28/10/2017 20:19,OnePlus3T,32.10998101,34.85007455,33.0,2,Egged.co.il,00:0c:42:51:bb:b8,2412,-80,HUAWEI-6714,94:fe:22:46:67:14,2437,-92,
28/10/2017 20:19,OnePlus3T,32.11143569,34.85041614,31.0,1,Egged.co.il,00:0c:42:51:bb:b8,2412,-80,
28/10/2017 20:20,OnePlus3T,32.11285503,34.85073332,32.0,1,Egged.co.il,00:0c:42:51:bb:b8,2412,-80,
