WigleWifi-1.4,appRelease=2.26,model=SM-G920F,release=7.0,device=zeroflte,display=NRD90M.G920FXXU5EQD3,board=universal7420,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:08:a9:38,Ariel_University,[ESS][BLE],2017-11-08 19:26:29,6,-91,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
ec:8c:a2:08:78:38,Ariel_University,[ESS][BLE],2017-11-08 19:26:29,1,-81,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS][BLE],2017-11-08 19:26:29,36,-88,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS][BLE],2017-11-08 19:26:29,40,-89,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS][BLE],2017-11-08 19:26:29,44,-86,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
c0:ac:54:f5:ff:4b,YanivIsGay,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 19:26:29,11,-87,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS][BLE],2017-11-08 19:26:29,11,-85,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
00:12:2a:39:2c:3c,netbox-550b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS][BLE],2017-11-08 19:26:29,1,-82,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
a0:ab:1b:59:55:54,ear,[WPA2-PSK-TKIP][ESS][BLE],2017-11-08 19:26:29,1,-84,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
78:11:dc:1a:cf:d0,TamiRacheli,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS][BLE],2017-11-08 19:26:29,8,-86,32.10338398838218,35.20813300940867,694.0658498321234,4,WIFI
